,Default Ensemble,Crossdock Default2018 Ensemble,Crossdock Dense Ensemble,General Default2018 Ensemble,Redock Default2018 Ensemble,All Ensemble,Vina
AA2AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,21.0,19.0,20.0,20.0,16.0,21.0,18.0
ACE,42.857142857142854,39.285714285714285,42.857142857142854,33.92857142857143,44.642857142857146,44.642857142857146,28.57142857142857
ACES,12.76595744680851,11.702127659574469,14.893617021276595,17.02127659574468,9.574468085106384,13.829787234042554,8.51063829787234
ADA,41.0,35.0,34.0,36.0,34.0,39.0,22.0
ADA17,41.0,34.0,38.0,43.0,34.0,39.0,33.0
ADRB1,65.0,55.00000000000001,56.00000000000001,55.00000000000001,54.0,64.0,42.0
ADRB2,59.09090909090909,59.09090909090909,46.96969696969697,56.060606060606055,59.09090909090909,60.60606060606061,56.060606060606055
AKT1,46.0,44.0,45.0,41.0,43.0,46.0,36.0
AKT2,39.682539682539684,34.92063492063492,36.507936507936506,33.33333333333333,31.746031746031743,36.507936507936506,15.873015873015872
AMPC,16.0,8.0,11.0,18.0,10.0,14.000000000000002,5.0
ANDR,46.0,47.0,35.0,43.0,38.0,48.0,46.0
AOFB,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BACE1,19.0,17.0,17.0,18.0,13.0,19.0,16.0
BRAF,38.144329896907216,36.08247422680412,37.11340206185567,38.144329896907216,34.02061855670103,38.144329896907216,27.835051546391753
CAH2,41.23711340206185,36.08247422680412,38.144329896907216,50.51546391752577,38.144329896907216,41.23711340206185,19.587628865979383
CASP3,2.2988505747126435,0.0,2.2988505747126435,2.2988505747126435,0.0,2.2988505747126435,1.1494252873563218
CDK2,35.0,32.0,26.0,32.0,31.0,34.0,10.0
CP2C9,8.333333333333332,8.333333333333332,8.333333333333332,0.0,8.333333333333332,0.0,0.0
CSF1R,24.0,26.0,23.0,26.0,23.0,24.0,14.000000000000002
DEF,50.0,54.0,46.0,42.0,44.0,52.0,40.0
DPP4,23.0,21.0,24.0,21.0,21.0,24.0,14.000000000000002
DYR,23.25581395348837,17.441860465116278,30.23255813953488,22.093023255813954,15.11627906976744,23.25581395348837,6.976744186046512
EGFR,19.0,21.0,17.0,17.0,15.0,18.0,12.0
ESR1,47.0,36.0,37.0,39.0,36.0,49.0,42.0
ESR2,52.0,36.0,31.0,46.0,43.0,50.0,50.0
FA10,67.70833333333334,61.458333333333336,69.79166666666666,66.66666666666666,61.458333333333336,67.70833333333334,48.95833333333333
FA7,32.0,28.999999999999996,36.0,30.0,28.999999999999996,35.0,20.0
FABP4,30.0,20.0,34.0,21.0,21.0,26.0,11.0
FAK1,40.0,38.94736842105263,40.0,38.94736842105263,35.78947368421053,40.0,16.842105263157894
FKB1A,47.0,49.0,32.0,42.0,41.0,49.0,36.0
FNTA,14.000000000000002,8.0,17.0,9.0,7.000000000000001,13.0,4.0
FPPS,37.0,21.0,41.0,41.0,19.0,33.0,7.000000000000001
GCR,34.0,28.000000000000004,28.000000000000004,47.0,17.0,40.0,43.0
GLCM,56.666666666666664,54.44444444444444,50.0,37.77777777777778,54.44444444444444,56.666666666666664,46.666666666666664
GRIA2,53.608247422680414,48.45360824742268,50.51546391752577,49.48453608247423,40.20618556701031,51.546391752577314,27.835051546391753
GRIK1,36.0,30.0,41.0,36.0,28.000000000000004,37.0,30.0
HDAC2,65.0,60.0,55.00000000000001,65.0,55.00000000000001,60.0,60.0
HDAC8,10.0,10.0,5.0,2.5,5.0,12.5,7.5
HIVINT,15.0,12.5,10.0,12.5,17.5,17.5,5.0
HIVPR,27.27272727272727,19.19191919191919,27.27272727272727,28.28282828282828,15.151515151515152,23.232323232323232,13.131313131313133
HIVRT,35.714285714285715,26.53061224489796,29.591836734693878,22.448979591836736,25.510204081632654,30.612244897959183,27.55102040816326
HMDH,78.0,61.0,79.0,69.0,68.0,75.0,80.0
HS90A,32.0,27.0,37.0,31.0,17.0,30.0,26.0
HXK4,34.0,30.0,25.0,27.0,28.999999999999996,32.0,17.0
IGF1R,14.000000000000002,14.000000000000002,15.0,13.0,12.0,15.0,7.000000000000001
ITAL,14.000000000000002,17.0,13.0,12.0,12.0,14.000000000000002,10.0
JAK2,31.0,34.0,26.0,28.999999999999996,26.0,33.0,19.0
KIF11,62.0,60.0,52.0,54.0,52.0,60.0,55.00000000000001
KIT,20.833333333333336,20.833333333333336,20.833333333333336,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
KITH,50.0,50.0,50.0,50.0,50.0,50.0,50.0
LCK,33.0,34.0,34.0,31.0,32.0,34.0,21.0
LKHA4,32.0,27.0,21.0,33.0,23.0,32.0,18.0
MAPK2,44.0,42.0,36.0,46.0,31.0,44.0,35.0
MCR,57.99999999999999,60.0,46.0,64.0,46.0,66.0,73.0
MET,34.0,30.0,33.0,32.0,33.0,34.0,34.0
MK01,28.000000000000004,22.0,25.0,25.0,23.0,27.0,14.000000000000002
MK10,25.0,24.0,24.0,25.0,20.0,26.0,15.0
MK14,25.0,22.0,25.0,22.0,22.0,26.0,19.0
MMP13,25.0,22.0,21.0,21.0,20.0,28.999999999999996,19.0
MP2K1,28.000000000000004,23.0,23.0,28.999999999999996,14.000000000000002,28.999999999999996,17.0
NRAM,61.0,43.0,68.0,66.0,40.0,55.00000000000001,17.0
PA2GA,55.55555555555556,44.44444444444444,52.77777777777778,56.94444444444444,40.27777777777778,58.333333333333336,56.94444444444444
PARP1,57.99999999999999,49.0,54.0,52.0,52.0,56.99999999999999,40.0
PDE5A,20.0,19.0,23.0,16.0,16.0,17.0,5.0
PGH1,48.0,34.0,32.0,43.0,34.0,46.0,25.0
PGH2,21.0,23.0,15.0,17.0,20.0,24.0,17.0
PLK1,54.0,52.0,53.0,55.00000000000001,39.0,55.00000000000001,36.0
PNPH,28.57142857142857,34.285714285714285,34.285714285714285,40.0,28.57142857142857,37.142857142857146,14.285714285714285
PPARA,28.999999999999996,20.0,28.999999999999996,25.0,23.0,27.0,19.0
PPARD,22.0,18.0,22.0,20.0,20.0,20.0,20.0
PPARG,5.0,2.0,7.000000000000001,11.0,5.0,6.0,3.0
PRGR,62.0,56.99999999999999,51.0,52.0,51.0,63.0,59.0
PTN1,28.000000000000004,28.999999999999996,30.0,32.0,27.0,31.0,28.000000000000004
PUR2,34.04255319148936,34.04255319148936,27.659574468085108,36.17021276595745,34.04255319148936,38.297872340425535,17.02127659574468
PYGM,9.411764705882353,3.5294117647058822,9.411764705882353,4.705882352941177,5.88235294117647,10.588235294117647,0.0
PYRD,41.0,38.0,24.0,36.0,35.0,41.0,20.0
RENI,44.0,38.0,43.0,40.0,33.0,44.0,37.0
ROCK1,36.0,28.000000000000004,33.0,35.0,28.999999999999996,34.0,16.0
RXRA,51.28205128205128,38.46153846153847,41.02564102564102,57.692307692307686,39.743589743589745,50.0,60.256410256410255
SAHH,50.0,50.0,50.0,50.0,50.0,50.0,0.0
SRC,28.000000000000004,26.0,30.0,28.000000000000004,19.0,28.999999999999996,12.0
TGFR1,46.0,36.0,44.0,47.0,32.0,45.0,21.0
THB,81.63265306122449,79.59183673469387,72.44897959183673,80.61224489795919,76.53061224489795,82.6530612244898,77.55102040816327
THRB,62.0,53.0,62.0,57.99999999999999,51.0,61.0,46.0
TRY1,33.33333333333333,35.35353535353536,33.33333333333333,32.323232323232325,30.303030303030305,33.33333333333333,30.303030303030305
TRYB1,15.151515151515152,13.131313131313133,18.181818181818183,23.232323232323232,14.14141414141414,16.161616161616163,13.131313131313133
TYSY,25.0,21.59090909090909,25.0,19.318181818181817,20.454545454545457,22.727272727272727,11.363636363636363
UROK,37.03703703703704,24.074074074074073,33.33333333333333,27.77777777777778,31.48148148148148,33.33333333333333,20.37037037037037
VGFR2,62.0,53.0,55.00000000000001,57.99999999999999,45.0,62.0,44.0
WEE1,69.0,71.0,61.0,71.0,65.0,71.0,56.99999999999999
XIAP,38.0,40.0,44.0,39.0,38.0,40.0,32.0
